context,candidate_index,inner_fold_count,inner_split_seed,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,delta3d_weight
outer_0:baseline,0.0,3.0,214087.0,0.35,2.0,0.131387718700875,0.01944623541661794,0.12683862999422002,True,
outer_0:baseline,1.0,3.0,214087.0,0.7,2.0,0.13629707318832499,-0.10225579095368409,0.13496455254872575,False,
outer_0:baseline,2.0,3.0,214087.0,1.0,4.0,0.14630836653484308,-0.16727529791505513,0.14174164626122676,False,
outer_0:2d_second_unshrunk,0.0,3.0,214087.0,0.35,2.0,0.13216828277986686,0.013095013435986846,0.12776408314211002,True,
outer_0:2d_second_unshrunk,1.0,3.0,214087.0,0.7,2.0,0.1359360115495993,-0.10442039324323193,0.13568360853712008,False,
outer_0:2d_second_unshrunk,2.0,3.0,214087.0,1.0,4.0,0.1467399596311267,-0.1740973728042592,0.14216961558176697,False,
outer_0:delta3d_unshrunk,0.0,3.0,214087.0,0.35,2.0,0.13909630819883356,0.06499981212417094,0.1274089492399038,True,
outer_0:delta3d_unshrunk,1.0,3.0,214087.0,0.7,2.0,0.14524826755175535,-0.025120650905007258,0.1349225388860789,False,
outer_0:delta3d_unshrunk,2.0,3.0,214087.0,1.0,4.0,0.1486328404698642,-0.056877183408580834,0.13816271758218707,False,
outer_0:delta3d_extended_unshrunk,0.0,3.0,214087.0,0.35,2.0,0.1390259500520589,0.06979282506645756,0.12743906053705045,True,
outer_0:delta3d_extended_unshrunk,1.0,3.0,214087.0,0.7,2.0,0.14415964592400443,-0.013158263538985526,0.13472496826737895,False,
outer_0:delta3d_extended_unshrunk,2.0,3.0,214087.0,1.0,4.0,0.14899100434293605,-0.0827553677492936,0.14019864491555917,False,
outer_0:2d_ensemble_weight,,,,,,0.131387718700875,0.01944623541661794,0.12683862999422002,True,0.0
outer_0:2d_ensemble_weight,,,,,,0.13156899699009914,0.018511035234407225,0.12704329083373508,False,0.25
outer_0:2d_ensemble_weight,,,,,,0.13175770519182994,0.01714076484356508,0.12726502425254219,False,0.5
outer_0:2d_ensemble_weight,,,,,,0.13195489021190268,0.015335424244091733,0.12750016024114866,False,0.75
outer_0:2d_ensemble_weight,,,,,,0.13216828277986686,0.013095013435986846,0.12776408314211002,False,1.0
outer_0:delta3d_weight,,,,,,0.131387718700875,0.01944623541661794,0.12683862999422002,True,0.0
outer_0:delta3d_weight,,,,,,0.13197966759748853,0.04394764802141338,0.12554997236727544,False,0.25
outer_0:delta3d_weight,,,,,,0.13362817528725887,0.05970704834093754,0.12528920351286033,False,0.5
outer_0:delta3d_weight,,,,,,0.13599398580954994,0.06672443637518988,0.12589974110813412,False,0.75
outer_0:delta3d_weight,,,,,,0.13909630819883356,0.06499981212417094,0.1274089492399038,False,1.0
outer_0:delta3d_extended_weight,,,,,,0.131387718700875,0.01944623541661794,0.12683862999422002,True,0.0
