full_arm,global_model,arm,k,mae,n_ligands
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL,1,0.7575156334349555,143
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL,2,0.6934242213120548,143
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL,3,0.6147843772570644,140
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL,5,0.6062102267411391,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,1,0.7538848498932323,143
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,2,0.6178749916954337,143
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,3,0.5392852737342606,140
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,5,0.5191199199517904,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@D_OPTIMAL,1,1.0636892959958917,143
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@D_OPTIMAL,2,0.6825644627491755,143
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@D_OPTIMAL,3,0.5815156022922564,140
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@D_OPTIMAL,5,0.5533122148454758,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@MEDOID,1,0.7538848498932323,143
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@MEDOID,2,0.6981585258122832,143
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@MEDOID,3,0.6238363810167294,140
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@MEDOID,5,0.6217730265965451,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@ORACLE[OFFSET_K1],1,0.6238443324808323,143
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@ORACLE[OFFSET_K1],2,0.5519626095259587,143
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@ORACLE[OFFSET_K1],3,0.5268360841107728,140
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@ORACLE[OFFSET_K1],5,0.5358032717291986,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@RANDOM,1,0.84589642363874,143
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@RANDOM,2,0.6719450572324007,143
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@RANDOM,3,0.5889279207130579,140
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@RANDOM,5,0.5619447134754055,99
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL,1,0.7575156334349555,143
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL,2,0.7290041084193523,143
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL,3,0.7139530045534407,140
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL,5,0.7612714879985231,99
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL_THEN_SPREAD,1,0.7538848498932323,143
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL_THEN_SPREAD,2,0.7281122188801588,143
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL_THEN_SPREAD,3,0.7172105407461676,140
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL_THEN_SPREAD,5,0.7615849126435005,99
