metal_symbol,atomic_number_gen11,metal_category,is_lanthanide,is_actinide,in_frozen_dict,period,group,block,archive_rows,archive_atomic_number_n,archive_oxidation_state_n,archive_ionic_radius_n,archive_lanthanide_index_n,archive_oxidation_states,archive_ox_state_sources,archive_ox_state_implausible_rows,archive_ionic_radius_status,auxA_rows,auxA_atomic_number_n,auxA_oxidation_state_n,auxA_ionic_radius_n,auxA_lanthanide_index_n,auxA_oxidation_states,auxA_ox_state_sources,auxA_ox_state_implausible_rows,auxA_ionic_radius_status,effective_charges,f_electron_counts,records,atomic_number_published,rows_with_ionic_radius,category,ionic_radius_status,_merge,rows_match,radius_rows_match,Z_match
<unknown>,,<none>,False,False,False,,,,1918,0,0,0,0,,,0,unknown_metal,0,0,0,0,0,,,0,,,,1918,,0,,,both,True,True,
Am,95.0,actinide,False,True,False,7.0,3.0,f,2104,2104,1829,1775,0,3|6,archive,0,ok|requires_curation|unknown_oxidation_state,1841,1841,1579,1552,0,3|6,archive,0,ok|requires_curation|unknown_oxidation_state,2|3,3|6,2104,95.0,1775,actinide,ok|requires_curation|unknown_oxidation_state,both,True,True,True
Ba,56.0,alkaline_earth,False,False,False,6.0,2.0,s,32,32,25,25,0,2,archive,0,ok|unknown_oxidation_state,32,32,25,25,0,2,archive,0,ok|unknown_oxidation_state,2,0,32,56.0,25,alkaline_earth,ok|unknown_oxidation_state,both,True,True,True
Bi,83.0,post_transition_metal,False,False,False,6.0,15.0,p,21,21,17,17,0,3,archive,0,ok|unknown_oxidation_state,21,21,17,17,0,3,archive,0,ok|unknown_oxidation_state,3,14,21,83.0,17,post_transition_metal,ok|unknown_oxidation_state,both,True,True,True
Ca,20.0,alkaline_earth,False,False,False,4.0,2.0,s,34,34,22,22,0,2,archive,0,ok|unknown_oxidation_state,34,34,22,22,0,2,archive,0,ok|unknown_oxidation_state,2,0,34,20.0,22,alkaline_earth,ok|unknown_oxidation_state,both,True,True,True
Cd,48.0,post_transition_metal,False,False,False,5.0,12.0,d,4,4,4,4,0,2,archive,0,ok,4,4,4,4,0,2,archive,0,ok,2,0,4,48.0,4,post_transition_metal,ok,both,True,True,True
Ce,58.0,lanthanide,True,False,True,6.0,3.0,f,416,416,395,395,416,3,archive,0,ok|unknown_oxidation_state,0,0,0,0,0,,,0,,3,1,416,58.0,395,lanthanide,ok|unknown_oxidation_state,both,True,True,True
Cf,98.0,actinide,False,True,False,7.0,3.0,f,23,23,23,0,0,3,archive,0,requires_curation,7,7,7,0,0,3,archive,0,requires_curation,3,9,23,98.0,0,actinide,requires_curation,both,True,True,True
Cm,96.0,actinide,False,True,False,7.0,3.0,f,160,160,151,0,0,3,archive,0,requires_curation|unknown_oxidation_state,136,136,127,0,0,3,archive,0,requires_curation|unknown_oxidation_state,3,7,160,96.0,0,actinide,requires_curation|unknown_oxidation_state,both,True,True,True
Cr,24.0,transition_metal,False,False,False,4.0,6.0,d,1,1,0,0,0,,,0,unknown_oxidation_state,1,1,0,0,0,,,0,unknown_oxidation_state,,0,1,24.0,0,transition_metal,unknown_oxidation_state,both,True,True,True
Dy,66.0,lanthanide,True,False,True,6.0,3.0,f,498,498,452,452,498,3,archive,0,ok|unknown_oxidation_state,0,0,0,0,0,,,0,,3,9,498,66.0,452,lanthanide,ok|unknown_oxidation_state,both,True,True,True
Er,68.0,lanthanide,True,False,True,6.0,3.0,f,402,402,377,377,402,3,archive,0,ok|unknown_oxidation_state,0,0,0,0,0,,,0,,3,11,402,68.0,377,lanthanide,ok|unknown_oxidation_state,both,True,True,True
Eu,63.0,lanthanide,True,False,True,6.0,3.0,f,2376,2376,2160,2160,2376,3,archive,0,ok|unknown_oxidation_state,78,78,78,78,78,3,archive,0,ok,3,6,2376,63.0,2160,lanthanide,ok|unknown_oxidation_state,both,True,True,True
Fe,26.0,transition_metal,False,False,False,4.0,8.0,d,37,37,0,0,0,,,0,unknown_oxidation_state,37,37,0,0,0,,,0,unknown_oxidation_state,,0,37,26.0,0,transition_metal,unknown_oxidation_state,both,True,True,True
Gd,64.0,lanthanide,True,False,True,6.0,3.0,f,504,504,467,467,504,3,archive,0,ok|unknown_oxidation_state,1,1,1,1,1,3,archive,0,ok,3,7,504,64.0,467,lanthanide,ok|unknown_oxidation_state,both,True,True,True
Hf,72.0,transition_metal,False,False,False,6.0,4.0,d,5,5,5,5,0,4,archive,0,ok,5,5,5,5,0,4,archive,0,ok,4,14,5,72.0,5,transition_metal,ok,both,True,True,True
Ho,67.0,lanthanide,True,False,True,6.0,3.0,f,360,360,339,339,360,3,archive,0,ok|unknown_oxidation_state,0,0,0,0,0,,,0,,3,10,360,67.0,339,lanthanide,ok|unknown_oxidation_state,both,True,True,True
In,49.0,post_transition_metal,False,False,False,5.0,13.0,p,5,5,5,5,0,3,archive,0,ok,5,5,5,5,0,3,archive,0,ok,3,0,5,49.0,5,post_transition_metal,ok,both,True,True,True
La,57.0,lanthanide,True,False,True,6.0,3.0,f,538,538,452,452,538,3,archive,0,ok|unknown_oxidation_state,0,0,0,0,0,,,0,,3,0,538,57.0,452,lanthanide,ok|unknown_oxidation_state,both,True,True,True
Lu,71.0,lanthanide,True,False,True,6.0,3.0,f,334,334,322,322,334,3,archive,0,ok|unknown_oxidation_state,0,0,0,0,0,,,0,,3,14,334,71.0,322,lanthanide,ok|unknown_oxidation_state,both,True,True,True
Mo,42.0,transition_metal,False,False,False,5.0,6.0,d,1,1,0,0,0,,,0,unknown_oxidation_state,1,1,0,0,0,,,0,unknown_oxidation_state,,0,1,42.0,0,transition_metal,unknown_oxidation_state,both,True,True,True
Nd,60.0,lanthanide,True,False,True,6.0,3.0,f,796,796,543,543,796,3,archive,0,ok|unknown_oxidation_state,5,5,4,4,5,3,archive,0,ok|unknown_oxidation_state,3,3,796,60.0,543,lanthanide,ok|unknown_oxidation_state,both,True,True,True
Np,93.0,actinide,False,True,False,7.0,3.0,f,496,496,496,223,0,4|5|6,archive,0,ok|requires_curation,432,432,432,182,0,4|5|6,archive,0,ok|requires_curation,1|2|4,1|2|3,496,93.0,223,actinide,ok|requires_curation,both,True,True,True
Pa,91.0,actinide,False,True,False,7.0,3.0,f,52,52,52,52,0,5,archive,0,ok,15,15,15,15,0,5,archive,0,ok,5,0,52,91.0,52,actinide,ok,both,True,True,True
Pb,82.0,post_transition_metal,False,False,False,6.0,14.0,p,14,14,10,10,0,2,archive,0,ok|unknown_oxidation_state,14,14,10,10,0,2,archive,0,ok|unknown_oxidation_state,2,14,14,82.0,10,post_transition_metal,ok|unknown_oxidation_state,both,True,True,True
Pd,46.0,transition_metal,False,False,False,5.0,10.0,d,23,23,23,0,0,2|4,archive,0,requires_curation,23,23,23,0,0,2|4,archive,0,requires_curation,2|4,0,23,46.0,0,transition_metal,requires_curation,both,True,True,True
Pm,61.0,lanthanide,True,False,False,6.0,3.0,f,1,1,1,1,1,3,archive,0,ok,1,1,1,1,1,3,archive,0,ok,3,4,1,61.0,1,lanthanide,ok,both,True,True,True
Pr,59.0,lanthanide,True,False,True,6.0,3.0,f,481,481,460,460,481,3,archive,0,ok|unknown_oxidation_state,0,0,0,0,0,,,0,,3,2,481,59.0,460,lanthanide,ok|unknown_oxidation_state,both,True,True,True
Pu,94.0,actinide,False,True,False,7.0,3.0,f,1019,1019,1003,766,0,3|4|6,archive,0,ok|requires_curation|unknown_oxidation_state,709,709,693,516,0,3|4|6,archive,0,ok|requires_curation|unknown_oxidation_state,2|3|4,2|4|5,1019,94.0,766,actinide,ok|requires_curation|unknown_oxidation_state,both,True,True,True
Ru,44.0,transition_metal,False,False,False,5.0,8.0,d,1,1,0,0,0,,,0,unknown_oxidation_state,1,1,0,0,0,,,0,unknown_oxidation_state,,0,1,44.0,0,transition_metal,unknown_oxidation_state,both,True,True,True
Sc,21.0,rare_earth_non_lanthanide,False,False,False,4.0,3.0,d,10,10,0,0,0,,,0,unknown_oxidation_state,10,10,0,0,0,,,0,unknown_oxidation_state,,0,10,21.0,0,rare_earth_non_lanthanide,unknown_oxidation_state,both,True,True,True
Sm,62.0,lanthanide,True,False,True,6.0,3.0,f,472,472,432,432,472,3,archive,0,ok|unknown_oxidation_state,1,1,1,1,1,3,archive,0,ok,3,5,472,62.0,432,lanthanide,ok|unknown_oxidation_state,both,True,True,True
Sr,38.0,alkaline_earth,False,False,False,5.0,2.0,s,219,219,132,94,0,2|3,archive,38,ok|requires_curation|unknown_oxidation_state,180,180,94,94,0,2,archive,0,ok|unknown_oxidation_state,2|3,0,219,38.0,94,alkaline_earth,ok|requires_curation|unknown_oxidation_state,both,True,True,True
Tb,65.0,lanthanide,True,False,True,6.0,3.0,f,348,348,344,344,348,3,archive,0,ok|unknown_oxidation_state,0,0,0,0,0,,,0,,3,8,348,65.0,344,lanthanide,ok|unknown_oxidation_state,both,True,True,True
Tc,43.0,transition_metal,False,False,False,5.0,7.0,d,21,21,21,0,0,7,archive,0,requires_curation,21,21,21,0,0,7,archive,0,requires_curation,-1,0,21,43.0,0,transition_metal,requires_curation,both,True,True,True
