extractant,n_cells,n_shared_pairs_max,n_valid_splits,mean_r
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,6,0,20,0.749335668709729
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,17,0,20,0.6978258754533855
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,3,21,20,0.9566456158693548
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,21,0,20,0.20511550666916598
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,10,0,20,0.885923850117835
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,5,28,20,0.9150579040838045
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,20,15,20,0.9723615843938251
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,74,0,20,0.9671002600158067
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,171,0,20,0.8231755939690156
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,2,36,20,-0.16384522093355827
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],2,91,20,0.8083709863869007
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,3,3,15,0.8933095304010722
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,2,91,20,0.9181674854639388
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,66,20,0.9213772949972038
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,33,0,20,0.5445939125965064
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,9,0,20,0.7742325021292842
CCN(CC)C(=O)COCC(=O)N(CC)CC,12,0,20,0.8705326725079907
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,11,0,20,0.5974084183151286
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,91,20,0.7156203529280958
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,2,91,20,0.5886236615025879
