comparison,reference,candidate,outer_fold,delta_mae,delta_rmse,delta_r2,delta_spearman
A2_vs_A5,A2,A5,0,0.004616481213207069,0.024574984640224007,0.102832357218553,-0.004850620110892712
A2_vs_A5,A2,A5,1,-0.012033047968190824,-0.007911185081347694,-0.019207720970843778,-0.02088879686209144
A2_vs_A5,A2,A5,2,-0.022226385526560366,-0.02975167648552568,-0.04314695028169413,-0.008040171683319608
A2_vs_A5,A2,A5,3,0.008195522956932877,0.008200362774429149,0.02226762743632904,-0.001382257773369866
A2_vs_A5,A2,A5,4,-0.0037249079330877177,0.0029027475677034786,0.004306553929187551,0.004619664278243341
A2_vs_A6,A2,A6,0,0.006981460977736165,0.030235559664679057,0.12589321111014384,-0.011385935511338374
A2_vs_A6,A2,A6,1,-0.010481998633152856,-0.0031277329602677484,-0.0075444630970579185,-0.015499328262646883
A2_vs_A6,A2,A6,2,-0.026714395393971357,-0.03359519443479353,-0.04886947160568633,-0.010577025906861715
A2_vs_A6,A2,A6,3,0.01465150934942433,0.016162240738851308,0.043641185896479584,0.006882692145549485
A2_vs_A6,A2,A6,4,-0.003147289853174584,-0.00015495221252881386,-0.00023068921416036225,0.000396765729482107
A3_vs_A2,A3,A2,0,0.006380531904622344,-0.031880950916200135,-0.13255251034356808,0.027540904467250105
A3_vs_A2,A3,A2,1,0.021977733518894094,0.06027362045659801,0.15676476132199435,0.03516129799833123
A3_vs_A2,A3,A2,2,0.04822735184964383,0.05368048104092071,0.07932675951041623,0.024430593157581226
A3_vs_A2,A3,A2,3,0.13186751500462324,0.23136324926682883,0.7344172294513248,0.4773009966822246
A3_vs_A2,A3,A2,4,0.014514040768486391,0.028638333447550623,0.04401358028177915,0.022595477712964773
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,0,-0.00023754044275681174,0.010200950432608491,0.04322101352361951,-0.004945565059722157
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,1,-0.013577935838915034,-0.00874067012032853,-0.021245593230632687,-0.035137709045457766
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,2,-0.027040437281179774,-0.01845532778930381,-0.02652479578836242,-0.010490237048425777
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,3,0.0039057677229502596,0.004106736931964505,0.011183815533883146,0.007916447817416739
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,4,-0.0012090199933174062,0.004523169986101527,0.006698256390064494,0.004564278911300956
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,0,-0.0063389787164571665,0.003300402173924688,0.014066895766435161,-0.014648871313395928
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,1,-0.014752147307958485,-0.006950018162107163,-0.016852018965307525,-0.030400391315099973
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,2,-0.019692526355204465,-0.014949394321696619,-0.021425634560390927,-0.0025076129926419055
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,3,0.0033822163614150025,-8.698829008246811e-05,-0.00023759266163347892,0.022752915420378828
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,4,-0.0011502894654620288,0.0038154164540987745,0.005654720904920474,0.00017931054447817285
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,0,-0.000795413101297604,0.012014112270423816,0.0508237028412708,-0.008947950994274867
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,1,-0.020076809811002516,-0.010749680123503802,-0.02620014998454334,-0.030587296148848142
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,2,-0.016646099642571355,-0.008979005935842888,-0.012807150805004941,0.0012940898180783256
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,3,0.006415009784560832,0.007558018144885104,0.020532675417688218,0.026263471778396275
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,4,-0.002988866781963806,0.004094326133390613,0.006066156650307297,0.005018567866988621
A2_vs_A2+D1,A2,A2+D1,0,-0.0007666113453862478,0.011285227917632867,0.047770337907206306,-0.0016276951539367368
A2_vs_A2+D1,A2,A2+D1,1,0.0011971527685482042,-0.0021324151202413155,-0.005136627451014952,-0.01497932388539347
A2_vs_A2+D1,A2,A2+D1,2,-0.01817550179841504,-0.012060380155009542,-0.017244993310386758,-0.0021029442482981553
A2_vs_A2+D1,A2,A2+D1,3,0.0011017562408845993,-0.005251149142624034,-0.01439449824251715,0.0345622798500721
A2_vs_A2+D1,A2,A2+D1,4,-0.003254727927732848,0.0003931019806009406,0.0005848771787331231,0.00579181267273865
A2_vs_A2+D2,A2,A2+D2,0,4.548041946461634e-05,0.007768910190823375,0.0329856033418634,-0.0006283056261894848
A2_vs_A2+D2,A2,A2+D2,1,-0.008857278720943496,-0.004658560137923651,-0.01126055679923299,-0.01950338181959499
A2_vs_A2+D2,A2,A2+D2,2,-0.007320401885805239,-0.004377879899818193,-0.006221194554281495,0.0008266128948420937
A2_vs_A2+D2,A2,A2+D2,3,0.0009779485944509947,-0.001980373392260981,-0.005416211011035621,0.017905880706582944
A2_vs_A2+D2,A2,A2+D2,4,-0.00037842018338424266,0.005046902629856853,0.007469376159972674,-0.00031142706289033484
A2_vs_A2+D3,A2,A2+D3,0,0.003969370973326003,0.010445300204313224,0.04424698666751303,0.0009445251795686671
A2_vs_A2+D3,A2,A2+D3,1,-0.005818832122127249,-0.0037043200478111826,-0.008942314843534915,0.003656924664486083
A2_vs_A2+D3,A2,A2+D3,2,-0.0026686073400976063,-0.022207417254381356,-0.032013297672606855,-0.012883741379347557
A2_vs_A2+D3,A2,A2+D3,3,-0.003224923473282515,0.0016106187709208353,0.004393874578140111,-0.01974580181396879
A2_vs_A2+D3,A2,A2+D3,4,-0.0002608470495233939,-0.0015310534697472455,-0.0022829543412128395,0.0050802526064865905
A2_vs_A2+D4,A2,A2+D4,0,-0.003684055863371949,0.0019601052830640064,0.008363914525461258,-0.009553433068496597
A2_vs_A2+D4,A2,A2+D4,1,-0.004435958243031279,-0.005132702231327169,-0.012414680244345111,-0.005774822124370083
A2_vs_A2+D4,A2,A2+D4,2,-0.010745547351455942,-0.007306314805245573,-0.010407261533292633,-0.0007473068412779948
A2_vs_A2+D4,A2,A2+D4,3,0.0006301434704727438,-0.005169302735974823,-0.014169329737785397,0.01952631863351517
A2_vs_A2+D4,A2,A2+D4,4,-0.0010263683892453024,0.002992406436544248,0.00443911991793744,-0.0008896573467058744
A2_vs_A2+D5,A2,A2+D5,0,0.000275489401001916,0.00566829487153464,0.024110223874987957,-0.0033533125142884423
A2_vs_A2+D5,A2,A2+D5,1,0.0018156457818705452,0.0006686753444442028,0.0016045388076031397,0.002956890938020651
A2_vs_A2+D5,A2,A2+D5,2,-0.003321000098749416,-0.0004874686626665792,-0.0006905370368983643,0.004486219282928472
A2_vs_A2+D5,A2,A2+D5,3,-0.007190768227340549,-0.015022654619512688,-0.041461407550449025,0.022098084901164494
A2_vs_A2+D5,A2,A2+D5,4,-0.0007047241952863881,0.003747254303583858,0.005554131037662224,0.0037667169701157688
