context,candidate_index,inner_fold_count,inner_split_seed,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,delta3d_weight
outer_0:baseline,0.0,3.0,104729.0,0.35,2.0,0.12917778189008897,0.08241580483772193,0.12224553369194582,True,
outer_0:baseline,1.0,3.0,104729.0,0.7,2.0,0.13786689182426698,-0.060661239012842705,0.13388543716302997,False,
outer_0:baseline,2.0,3.0,104729.0,1.0,4.0,0.14299223353161616,-0.1355410569526554,0.14147378447400755,False,
outer_0:2d_second_unshrunk,0.0,3.0,104729.0,0.35,2.0,0.13033266301544158,0.07145684031182609,0.12320664068429131,True,
outer_0:2d_second_unshrunk,1.0,3.0,104729.0,0.7,2.0,0.13694620412306643,-0.05117329782423141,0.13317226806082427,False,
outer_0:2d_second_unshrunk,2.0,3.0,104729.0,1.0,4.0,0.14230227151702018,-0.12323444435878761,0.1411073431399475,False,
outer_0:delta3d_unshrunk,0.0,3.0,104729.0,0.35,2.0,0.13236095960304364,0.11917941791226472,0.12321438796729876,True,
outer_0:delta3d_unshrunk,1.0,3.0,104729.0,0.7,2.0,0.13813100583695076,0.02148468212873933,0.13165402246313473,False,
outer_0:delta3d_unshrunk,2.0,3.0,104729.0,1.0,4.0,0.1424039418300561,-0.032508214463136786,0.1364403178075562,False,
outer_0:delta3d_extended_unshrunk,0.0,3.0,104729.0,0.35,2.0,0.13251576831038192,0.12645456639250052,0.12270501031539022,True,
outer_0:delta3d_extended_unshrunk,1.0,3.0,104729.0,0.7,2.0,0.13696448587989107,0.06300371148164907,0.12840420484206322,False,
outer_0:delta3d_extended_unshrunk,2.0,3.0,104729.0,1.0,4.0,0.14153565248418767,0.01682225094716716,0.1330559214930875,False,
outer_0:2d_ensemble_weight,,,,,,0.12917778189008897,0.08241580483772193,0.12224553369194582,True,0.0
outer_0:2d_ensemble_weight,,,,,,0.12946047748631126,0.08002782837214295,0.12247230994892351,False,0.25
outer_0:2d_ensemble_weight,,,,,,0.12975070978788006,0.07740534212930072,0.12271678001651795,False,0.5
outer_0:2d_ensemble_weight,,,,,,0.13004094208944883,0.07454834610919514,0.12296125008411236,False,0.75
outer_0:2d_ensemble_weight,,,,,,0.13033266301544158,0.07145684031182609,0.12320664068429131,False,1.0
outer_0:delta3d_weight,,,,,,0.12917778189008897,0.08241580483772193,0.12224553369194582,False,0.0
outer_0:delta3d_weight,,,,,,0.12873461010336687,0.10385380577284342,0.12136150752390057,True,0.25
outer_0:delta3d_weight,,,,,,0.1292569058265017,0.11712707493030783,0.12126247413418276,False,0.5
outer_0:delta3d_weight,,,,,,0.13050246839904306,0.12223561231011493,0.1218733489185523,False,0.75
outer_0:delta3d_weight,,,,,,0.13236095960304364,0.11917941791226472,0.12321438796729879,False,1.0
outer_0:delta3d_extended_weight,,,,,,0.12917778189008897,0.08241580483772193,0.12224553369194582,False,0.0
outer_0:delta3d_extended_weight,,,,,,0.12860730438130197,0.10758510711841773,0.1211424111177397,True,0.25
outer_0:delta3d_extended_weight,,,,,,0.1292886766555178,0.12331466813777947,0.1209910855635103,False,0.5
outer_0:delta3d_extended_weight,,,,,,0.1306324823848335,0.12960448789580703,0.12147458054368637,False,0.75
outer_0:delta3d_extended_weight,,,,,,0.13251576831038192,0.12645456639250052,0.12270501031539022,False,1.0
outer_1:baseline,0.0,3.0,114736.0,0.35,2.0,0.13925245944292097,0.042616559376385976,0.11913084110655782,True,
outer_1:baseline,1.0,3.0,114736.0,0.7,2.0,0.14280397492720995,-0.00762697716783145,0.1220615132665107,False,
outer_1:baseline,2.0,3.0,114736.0,1.0,4.0,0.14217808329587825,-0.0041121384158748775,0.12120046563427203,False,
outer_1:2d_second_unshrunk,0.0,3.0,114736.0,0.35,2.0,0.13981724742554721,0.037083946001975066,0.11979640868788217,True,
outer_1:2d_second_unshrunk,1.0,3.0,114736.0,0.7,2.0,0.141616411975281,-0.016772908496561323,0.12305290214337426,False,
outer_1:2d_second_unshrunk,2.0,3.0,114736.0,1.0,4.0,0.1418607379890176,0.005363735499248845,0.12059987364434603,False,
outer_1:delta3d_unshrunk,0.0,3.0,114736.0,0.35,2.0,0.14645604956952124,0.0697807436075849,0.11899245568600178,True,
outer_1:delta3d_unshrunk,1.0,3.0,114736.0,0.7,2.0,0.1520958158193498,0.04166012723530943,0.12142785813831368,False,
outer_1:delta3d_unshrunk,2.0,3.0,114736.0,1.0,4.0,0.14774094457130696,0.08570186318433182,0.11883548669732714,False,
outer_1:delta3d_extended_unshrunk,0.0,3.0,114736.0,0.35,2.0,0.14537175528291757,0.08131114803332806,0.11754703509081249,False,
outer_1:delta3d_extended_unshrunk,1.0,3.0,114736.0,0.7,2.0,0.14891380767028228,0.05786855394600521,0.11920016429125786,False,
outer_1:delta3d_extended_unshrunk,2.0,3.0,114736.0,1.0,4.0,0.14531961553950795,0.1127295548768823,0.11595850858197759,True,
outer_1:2d_ensemble_weight,,,,,,0.13925245944292097,0.042616559376385976,0.11913084110655782,True,0.0
outer_1:2d_ensemble_weight,,,,,,0.13938723330790015,0.04161220810298227,0.1192847628271777,False,0.25
outer_1:2d_ensemble_weight,,,,,,0.1395266200605371,0.04035532211611248,0.11944560360432865,False,0.5
outer_1:2d_ensemble_weight,,,,,,0.13966938481016974,0.03884590141577682,0.11961349206417898,False,0.75
outer_1:2d_ensemble_weight,,,,,,0.13981724742554721,0.037083946001975066,0.11979640868788217,False,1.0
outer_1:delta3d_weight,,,,,,0.13925245944292097,0.042616559376385976,0.11913084110655782,True,0.0
outer_1:delta3d_weight,,,,,,0.13981248372369273,0.06376617526079131,0.11792768113365523,False,0.25
outer_1:delta3d_weight,,,,,,0.1411797530144932,0.0753434112607928,0.11735460351328332,False,0.5
outer_1:delta3d_weight,,,,,,0.14356403793915173,0.07734826737639067,0.11782270758290497,False,0.75
outer_1:delta3d_weight,,,,,,0.14645604956952124,0.0697807436075849,0.11899245568600178,False,1.0
outer_1:delta3d_extended_weight,,,,,,0.13925245944292097,0.042616559376385976,0.11913084110655782,False,0.0
outer_1:delta3d_extended_weight,,,,,,0.13884187721078506,0.08607759878654442,0.1164256717105632,True,0.25
