split_seed,fold,arm,policy,budget_per_ligand,family,replicate,step,extractant,n_rows_revealed,n_train_rows,nn_to_acquired_before,chemotype
104729,0,random,random,3,primary,0,1,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,3,2931,0.7741935483870968,tan055
104729,0,random,random,3,primary,0,2,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,3,2934,0.4594594594594595,tan067
104729,0,random,random,3,primary,0,3,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,3,2937,0.9230769230769231,tan055
104729,0,random,random,3,primary,0,4,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,3,2940,0.14583333333333334,tan081
104729,0,random,random,3,primary,0,5,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,3,2943,0.64,tan049
104729,0,random,random,3,primary,0,6,CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,3,2946,0.4375,tan081
104729,0,random,random,3,primary,0,7,CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,3,2949,0.6785714285714286,tan053
104729,0,random,random,3,primary,0,8,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1,3,2952,0.6666666666666666,tan054
104729,0,random,random,3,primary,0,9,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,3,2955,0.6764705882352942,tan059
104729,0,random,random,3,primary,0,10,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,3,2958,0.36363636363636365,tan074
104729,0,random,random,3,primary,0,11,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,3,2961,0.47619047619047616,tan064
104729,0,random,random,3,primary,0,12,CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,3,2964,0.7,tan081
104729,0,random,random,3,primary,0,13,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,3,2967,0.8571428571428571,tan055
104729,0,random,random,3,primary,0,14,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,3,2970,1.0,tan055
104729,0,random,random,3,primary,0,15,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,3,2973,0.7272727272727273,tan055
104729,0,random,random,3,primary,0,16,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,3,2976,0.8064516129032258,tan067
104729,0,random,random,3,primary,0,17,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,3,2979,1.0,tan067
104729,0,random,random,3,primary,0,18,CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,3,2982,0.28,tan095
104729,0,random,random,3,primary,0,19,CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCCC1,3,2985,1.0,tan054
104729,0,random,random,3,primary,0,20,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,3,2988,0.8461538461538461,tan055
