design,split_seed,A,B,dZ,n_candidates,saved,saved_heavy,saved_light,e_random,e_model,n_no_call,n_called_heavy,n_called_light
A,104729,La,Ce,1,68,-3.6791666666666663,-0.02499999999999991,-7.333333333333332,12.9375,16.616666666666667,0,57,11
A,104729,La,Pr,2,72,1.3914915966386556,0.3544117647058822,2.428571428571429,6.126785714285714,4.735294117647059,0,49,23
A,104729,La,Eu,6,83,1.7058992512417523,0.5189413596263621,2.892857142857143,3.5186170212765955,1.8127177700348431,0,51,32
A,104729,La,Er,11,69,1.201109391124871,0.5394736842105263,1.8627450980392157,2.541666666666667,1.3405572755417956,0,45,24
A,104729,Ce,Pr,1,68,4.763636363636364,1.4772727272727275,8.05,9.775,5.011363636363637,0,46,22
A,104729,Ce,Eu,5,68,2.2994047619047624,0.573809523809524,4.025,4.408333333333333,2.1089285714285713,0,46,22
A,104729,Ce,Er,10,55,1.3906322843822845,0.509469696969697,2.2717948717948717,2.7151515151515153,1.3245192307692308,0,37,18
A,104729,Pr,Eu,4,73,1.9175553613053613,0.7791666666666666,3.0559440559440563,4.002403846153847,2.084848484848485,0,45,28
A,104729,Pr,Er,9,60,1.3055555555555554,0.8888888888888886,1.722222222222222,2.824074074074074,1.5185185185185186,0,36,24
A,104729,Eu,Er,5,68,1.5100649350649347,0.6928571428571426,2.3272727272727267,3.4499999999999997,1.939935064935065,0,44,24
A,104729,La,Nd,3,77,5.433660933660933,0.3673218673218672,10.5,10.636363636363637,5.202702702702703,0,51,26
A,104729,La,Sm,5,74,3.0175151975683887,0.3207446808510639,5.7142857142857135,6.155015197568389,3.1375,0,50,24
A,104729,La,Gd,7,68,1.7888471177944867,0.48245614035087736,3.095238095238096,3.3721804511278197,1.5833333333333333,0,47,21
A,104729,La,Tb,8,58,1.7218750000000003,0.54375,2.9000000000000004,3.871875,2.15,0,38,20
A,104729,La,Dy,9,68,1.7967948717948719,0.4685897435897437,3.125,3.7375,1.9407051282051282,0,48,20
A,104729,La,Ho,10,52,1.6184424894102314,0.3479960899315737,2.8888888888888893,3.7474747474747474,2.129032258064516,0,38,14
A,104729,La,Tm,12,48,1.6689016602809708,0.39335887611749687,2.9444444444444446,3.567049808429119,1.8981481481481481,0,34,14
A,104729,La,Yb,13,52,1.4753472222222224,0.4229166666666666,2.527777777777778,3.0364583333333335,1.5611111111111111,0,36,16
A,104729,La,Lu,14,56,2.3002192982456138,0.26710526315789473,4.333333333333333,3.8791666666666664,1.5789473684210527,0,43,13
A,104729,Ce,Nd,2,65,8.08882783882784,0.510989010989011,15.666666666666668,12.178571428571429,4.089743589743589,0,47,18
A,104729,Ce,Sm,4,65,2.9969924812030078,0.3654135338345865,5.628571428571429,5.582706766917293,2.5857142857142854,0,47,18
A,104729,Ce,Gd,6,57,2.1127016129032254,0.4254032258064515,3.8,3.80625,1.6935483870967742,0,42,15
A,104729,Ce,Tb,7,53,2.8583333333333334,0.4666666666666668,5.25,5.4,2.5416666666666665,0,39,14
A,104729,Ce,Dy,8,55,2.7058823529411766,0.4117647058823528,5.0,4.823529411764706,2.1176470588235294,0,41,14
A,104729,Ce,Ho,9,52,2.28125,0.4375,4.125,4.140625,1.859375,0,38,14
A,104729,Ce,Tm,11,48,2.187750866630177,0.39335887611749687,3.982142857142857,3.907327586206897,1.7195767195767195,0,34,14
A,104729,Ce,Yb,12,50,1.9059523809523806,0.37857142857142856,3.4333333333333327,3.4,1.494047619047619,0,36,14
A,104729,Ce,Lu,13,48,2.3571329254727473,0.3392658509454949,4.375,3.852822580645161,1.4956896551724137,0,35,13
A,104729,Pr,Nd,1,71,6.392857142857143,1.785714285714286,11.0,14.571428571428571,8.178571428571429,0,46,25
A,104729,Pr,Sm,3,70,3.1534946236559143,0.7236559139784948,5.583333333333334,7.061827956989248,3.908333333333333,0,46,24
A,104729,Pr,Gd,5,62,1.3159722222222223,0.6944444444444444,1.9375,3.09375,1.7777777777777777,0,41,21
A,104729,Pr,Tb,6,58,2.1623931623931623,0.7692307692307692,3.5555555555555554,4.412393162393162,2.25,0,38,20
A,104729,Pr,Dy,7,60,1.92037037037037,0.7407407407407405,3.0999999999999996,4.17962962962963,2.2592592592592595,0,40,20
A,104729,Pr,Ho,8,52,1.8199507389162561,0.48275862068965525,3.157142857142857,3.5637931034482757,1.7438423645320196,0,38,14
A,104729,Pr,Tm,10,48,1.8931013431013433,0.48461538461538467,3.301587301587302,3.664529914529915,1.7714285714285714,0,34,14
A,104729,Pr,Yb,11,50,1.5297202797202796,0.5,2.559440559440559,2.8722527472527473,1.3425324675324675,0,36,14
A,104729,Pr,Lu,12,48,1.7356060606060604,0.41666666666666674,3.0545454545454542,3.102272727272727,1.3666666666666667,0,35,13
A,104729,Nd,Sm,2,78,5.003219696969698,0.706439393939394,9.3,9.096969696969698,4.09375,0,53,25
A,104729,Nd,Eu,3,80,2.2491089555605686,0.8129032258064515,3.6853146853146854,4.421836228287841,2.172727272727273,0,53,27
A,104729,Nd,Gd,4,72,1.5067698450347877,0.6360887096774193,2.3774509803921564,3.2876838235294117,1.7809139784946237,0,50,22
A,104729,Nd,Tb,5,59,2.556084656084656,0.7407407407407409,4.371428571428571,5.396825396825397,2.840740740740741,0,39,20
A,104729,Nd,Dy,6,71,2.1977272727272728,0.5999999999999999,3.795454545454546,4.301298701298702,2.1035714285714286,0,50,21
A,104729,Nd,Ho,7,52,1.953703703703704,0.5185185185185186,3.3888888888888893,3.925925925925926,1.9722222222222223,0,38,14
A,104729,Nd,Er,8,65,1.419047619047619,0.5714285714285714,2.2666666666666666,2.776190476190476,1.3571428571428572,0,45,20
A,104729,Nd,Tm,9,48,1.7548076923076925,0.48461538461538467,3.0250000000000004,3.3923076923076927,1.6375,0,34,14
A,104729,Nd,Yb,10,51,1.6666666666666665,0.5,2.833333333333333,3.095238095238095,1.4285714285714286,0,37,14
A,104729,Nd,Lu,11,56,2.4547619047619045,0.32619047619047614,4.583333333333333,3.958333333333333,1.5035714285714286,0,43,13
A,104729,Sm,Eu,1,77,2.9982142857142855,1.5714285714285712,4.425,6.685714285714285,3.6875,0,51,26
A,104729,Sm,Gd,2,72,2.3411851306588147,1.1578947368421053,3.524475524475524,4.728744939271255,2.38755980861244,0,50,22
A,104729,Sm,Tb,3,59,2.1222826086956523,0.8695652173913044,3.375,4.304347826086957,2.182065217391304,0,39,20
A,104729,Sm,Dy,4,70,1.6987327188940093,0.6236559139784947,2.773809523809524,4.103494623655914,2.4047619047619047,0,49,21
A,104729,Sm,Ho,5,52,1.669230769230769,0.5384615384615383,2.8,3.669230769230769,2.0,0,38,14
A,104729,Sm,Er,6,65,1.5986185383244207,0.5472370766488412,2.6500000000000004,3.170588235294118,1.571969696969697,0,45,20
A,104729,Sm,Tm,7,48,1.7316304347826088,0.43826086956521726,3.0250000000000004,3.43,1.6983695652173914,0,34,14
A,104729,Sm,Yb,8,51,1.8346508563899868,0.6086956521739129,3.0606060606060606,3.4940711462450595,1.6594202898550725,0,37,14
A,104729,Sm,Lu,9,56,1.9704229797979798,0.31458333333333344,3.6262626262626263,3.481534090909091,1.511111111111111,0,43,13
A,104729,Eu,Gd,1,70,3.975,1.4166666666666679,6.533333333333332,15.975,12.0,0,48,22
A,104729,Eu,Tb,2,58,-6.300757575757575,0.7318181818181817,-13.333333333333332,11.174242424242426,17.475,0,38,20
A,104729,Eu,Dy,3,69,1.950320512820513,0.650641025641026,3.25,5.721153846153847,3.770833333333333,0,48,21
A,104729,Eu,Ho,4,51,2.1574675324675328,0.6363636363636365,3.678571428571429,4.896103896103896,2.7386363636363638,0,37,14
A,104729,Eu,Tm,6,47,1.7106203007518794,0.49624060150375926,2.925,3.5428571428571427,1.8322368421052633,0,33,14
A,104729,Eu,Yb,7,51,1.6413419913419913,0.6493506493506496,2.633333333333333,3.3484848484848486,1.707142857142857,0,35,16
A,104729,Eu,Lu,8,55,2.1169540229885055,0.38390804597701145,3.8499999999999996,3.7333333333333334,1.6163793103448276,0,42,13
A,104729,Gd,Tb,1,65,5.8305921052631575,0.6611842105263159,11.0,12.736842105263158,6.90625,0,44,21
A,104729,Gd,Dy,2,74,0.8381410256410255,0.6762820512820511,1.0,7.6923076923076925,6.854166666666667,0,52,22
A,104729,Gd,Ho,3,57,3.433333333333333,0.5999999999999999,6.266666666666667,6.96,3.5266666666666664,0,42,15
A,104729,Gd,Er,4,69,2.182603686635945,0.5080645161290325,3.857142857142857,4.629032258064516,2.446428571428571,0,48,21
A,104729,Gd,Tm,5,54,2.519480519480519,0.38181818181818206,4.657142857142857,5.0285714285714285,2.5090909090909093,0,39,15
A,104729,Gd,Yb,6,57,2.334749694749695,0.5107692307692309,4.158730158730159,4.337606837606838,2.0028571428571427,0,42,15
A,104729,Gd,Lu,7,60,2.016581040287937,0.36270753512132825,3.670454545454546,3.824451410658307,1.8078703703703702,0,46,14
A,104729,Tb,Dy,1,66,4.616666666666666,-1.5999999999999996,10.833333333333332,17.866666666666667,13.25,0,44,22
A,104729,Tb,Ho,2,57,1.0912698412698416,1.0714285714285716,1.1111111111111116,5.293650793650794,4.2023809523809526,0,42,15
A,104729,Tb,Er,3,63,2.719298245614035,1.1052631578947367,4.333333333333334,5.684210526315789,2.9649122807017543,0,42,21
A,104729,Tb,Tm,4,54,2.489583333333334,0.7708333333333335,4.208333333333334,5.15625,2.6666666666666665,0,39,15
A,104729,Tb,Yb,5,56,2.5625,0.6666666666666665,4.458333333333334,5.0625,2.5,0,41,15
A,104729,Tb,Lu,6,54,1.8470238095238096,0.5690476190476192,3.125,3.8095238095238093,1.9625,0,40,14
A,104729,Dy,Ho,1,57,-1.875,3.75,-7.5,21.75,23.625,0,42,15
A,104729,Dy,Er,2,69,4.25,2.333333333333333,6.166666666666666,9.722222222222221,5.472222222222222,0,48,21
A,104729,Dy,Tm,3,54,2.8841269841269837,1.1111111111111107,4.657142857142857,6.984126984126984,4.1,0,39,15
A,104729,Dy,Yb,4,58,2.53015873015873,0.7904761904761903,4.26984126984127,5.2444444444444445,2.7142857142857144,0,43,15
A,104729,Dy,Lu,5,60,2.147318775995247,0.6241830065359477,3.670454545454546,4.467171717171717,2.3198529411764706,0,46,14
A,104729,Ho,Er,1,57,2.166666666666666,-1.6666666666666679,6.0,16.916666666666664,14.75,0,41,16
A,104729,Ho,Tm,2,55,2.541666666666667,1.333333333333334,3.75,8.666666666666668,6.125,0,39,16
A,104729,Ho,Yb,3,57,2.533333333333333,2.666666666666666,2.4,7.7333333333333325,5.2,0,41,16
A,104729,Ho,Lu,4,54,1.8785714285714288,0.9000000000000004,2.857142857142857,5.0,3.121428571428571,0,40,14
A,104729,Er,Tm,1,55,0.47499999999999964,-6.0,6.949999999999999,12.6,12.125,0,39,16
A,104729,Er,Yb,2,58,5.458333333333334,5.333333333333334,5.583333333333334,14.75,9.291666666666668,0,42,16
A,104729,Er,Lu,3,60,2.3779761904761902,0.8809523809523805,3.875,8.169642857142858,5.791666666666666,0,46,14
A,104729,Tm,Yb,1,55,9.75,0.0,19.5,42.0,32.25,0,39,16
A,104729,Tm,Lu,2,52,2.8,0.0,5.6,31.8,29.0,0,38,14
A,104729,Yb,Lu,1,54,13.5,7.0,20.0,27.5,14.0,0,40,14
A,130363,La,Ce,1,68,6.6875,0.375,13.0,12.9375,6.25,0,49,19
A,130363,La,Pr,2,72,2.7767857142857144,0.32499999999999996,5.228571428571429,6.126785714285714,3.35,0,47,25
A,130363,La,Nd,3,77,4.783982683982684,0.40129870129870127,9.166666666666666,10.636363636363637,5.852380952380953,0,47,30
A,130363,La,Sm,5,74,3.190102916866634,0.33258678611422177,6.047619047619047,6.155015197568389,2.9649122807017543,0,47,27
A,130363,La,Eu,6,83,1.6335293019783501,0.5503919372900334,2.716666666666667,3.5186170212765955,1.8850877192982456,0,46,37
A,130363,Ce,Pr,1,68,4.080555555555556,0.8611111111111107,7.300000000000001,9.775,5.694444444444445,0,43,25
A,130363,Ce,Nd,2,65,7.574404761904763,0.4821428571428572,14.666666666666668,12.178571428571429,4.604166666666666,0,44,21
A,130363,Ce,Sm,4,65,3.0675552517657785,0.37320574162679443,5.761904761904763,5.582706766917293,2.515151515151515,0,44,21
A,130363,Ce,Eu,5,68,2.2972222222222225,0.5833333333333335,4.011111111111111,4.408333333333333,2.111111111111111,0,43,25
A,130363,Pr,Nd,1,71,5.75,2.0000000000000004,9.5,14.571428571428571,8.821428571428571,0,43,28
A,130363,Pr,Sm,3,70,3.476113671274962,0.7188940092165901,6.233333333333334,7.061827956989248,3.5857142857142854,0,43,27
A,130363,Pr,Eu,4,73,1.90121336996337,0.7767857142857142,3.025641025641026,4.002403846153847,2.1011904761904763,0,42,31
A,130363,Nd,Sm,2,78,5.346969696969697,0.6939393939393941,10.0,9.096969696969698,3.75,0,50,28
A,130363,Nd,Eu,3,80,2.226433929437267,0.8887652947719689,3.5641025641025643,4.421836228287841,2.1954022988505746,0,49,31
A,130363,Sm,Eu,1,77,3.1344322344322344,1.802197802197802,4.466666666666667,6.685714285714285,3.551282051282051,0,48,29
A,130363,La,Gd,7,68,1.7488772837070052,0.4922600619195048,3.0054945054945055,3.3721804511278197,1.6233031674208145,0,44,24
A,130363,La,Tb,8,58,1.8635416666666669,0.5770833333333334,3.1500000000000004,3.871875,2.0083333333333333,0,37,21
A,130363,La,Dy,9,68,1.740503003003003,0.5087837837837839,2.9722222222222223,3.7375,1.996996996996997,0,44,24
A,130363,La,Ho,10,52,1.8012381883349629,0.3802541544477027,3.2222222222222228,3.7474747474747474,1.946236559139785,0,37,15
A,130363,La,Er,11,69,1.1970720720720722,0.5608108108108107,1.8333333333333335,2.541666666666667,1.3445945945945947,0,43,26
A,130363,La,Tm,12,48,1.7945630359423466,0.43039591315453385,3.158730158730159,3.567049808429119,1.7724867724867726,0,33,15
A,130363,La,Yb,13,52,1.5364583333333335,0.45625000000000004,2.616666666666667,3.0364583333333335,1.5,0,35,17
A,130363,La,Lu,14,56,2.375877192982456,0.293421052631579,4.458333333333333,3.8791666666666664,1.5032894736842106,0,42,14
A,130363,Ce,Gd,6,57,2.0610392720306514,0.4331896551724137,3.6888888888888887,3.80625,1.7452107279693487,0,39,18
A,130363,Ce,Tb,7,53,2.8583333333333334,0.4666666666666668,5.25,5.4,2.5416666666666665,0,39,14
A,130363,Ce,Dy,8,55,2.4985294117647054,0.3970588235294117,4.6,4.823529411764706,2.325,0,39,16
A,130363,Ce,Ho,9,52,2.28125,0.4375,4.125,4.140625,1.859375,0,38,14
A,130363,Ce,Er,10,55,1.3906322843822845,0.509469696969697,2.2717948717948717,2.7151515151515153,1.3245192307692308,0,37,18
A,130363,Ce,Tm,11,48,2.187750866630177,0.39335887611749687,3.982142857142857,3.907327586206897,1.7195767195767195,0,34,14
A,130363,Ce,Yb,12,50,1.9059523809523806,0.37857142857142856,3.4333333333333327,3.4,1.494047619047619,0,36,14
A,130363,Ce,Lu,13,48,2.3571329254727473,0.3392658509454949,4.375,3.852822580645161,1.4956896551724137,0,35,13
A,130363,Pr,Gd,5,62,1.2720833333333332,0.69,1.8541666666666665,3.09375,1.8216666666666668,0,38,24
A,130363,Pr,Tb,6,58,2.1623931623931623,0.7692307692307692,3.5555555555555554,4.412393162393162,2.25,0,38,20
A,130363,Pr,Dy,7,60,1.8145502645502645,0.8148148148148147,2.814285714285714,4.17962962962963,2.365079365079365,0,38,22
A,130363,Pr,Ho,8,52,1.8199507389162561,0.48275862068965525,3.157142857142857,3.5637931034482757,1.7438423645320196,0,38,14
A,130363,Pr,Er,9,60,1.3055555555555554,0.8888888888888886,1.722222222222222,2.824074074074074,1.5185185185185186,0,36,24
A,130363,Pr,Tm,10,48,1.8931013431013433,0.48461538461538467,3.301587301587302,3.664529914529915,1.7714285714285714,0,34,14
A,130363,Pr,Yb,11,50,1.5297202797202796,0.5,2.559440559440559,2.8722527472527473,1.3425324675324675,0,36,14
A,130363,Pr,Lu,12,48,1.7356060606060604,0.41666666666666674,3.0545454545454542,3.102272727272727,1.3666666666666667,0,35,13
A,130363,Nd,Gd,4,72,1.4876838235294116,0.6812499999999999,2.2941176470588234,3.2876838235294117,1.8,0,47,25
A,130363,Nd,Tb,5,59,2.556084656084656,0.7407407407407409,4.371428571428571,5.396825396825397,2.840740740740741,0,39,20
A,130363,Nd,Dy,6,71,2.053084415584416,0.6857142857142855,3.420454545454546,4.301298701298702,2.248214285714286,0,47,24
A,130363,Nd,Ho,7,52,1.953703703703704,0.5185185185185186,3.3888888888888893,3.925925925925926,1.9722222222222223,0,38,14
A,130363,Nd,Er,8,65,1.419047619047619,0.5714285714285714,2.2666666666666666,2.776190476190476,1.3571428571428572,0,45,20
A,130363,Nd,Tm,9,48,1.7548076923076925,0.48461538461538467,3.0250000000000004,3.3923076923076927,1.6375,0,34,14
A,130363,Nd,Yb,10,51,1.6666666666666665,0.5,2.833333333333333,3.095238095238095,1.4285714285714286,0,37,14
A,130363,Nd,Lu,11,56,2.4547619047619045,0.32619047619047614,4.583333333333333,3.958333333333333,1.5035714285714286,0,43,13
A,130363,Sm,Gd,2,72,2.3822537112010798,1.3157894736842106,3.4487179487179485,4.728744939271255,2.3464912280701755,0,47,25
A,130363,Sm,Tb,3,59,2.1222826086956523,0.8695652173913044,3.375,4.304347826086957,2.182065217391304,0,39,20
A,130363,Sm,Dy,4,70,1.970161290322581,0.6903225806451614,3.2500000000000004,4.103494623655914,2.1333333333333333,0,47,23
A,130363,Sm,Ho,5,52,1.669230769230769,0.5384615384615383,2.8,3.669230769230769,2.0,0,38,14
A,130363,Sm,Er,6,65,1.5986185383244207,0.5472370766488412,2.6500000000000004,3.170588235294118,1.571969696969697,0,45,20
A,130363,Sm,Tm,7,48,1.7316304347826088,0.43826086956521726,3.0250000000000004,3.43,1.6983695652173914,0,34,14
A,130363,Sm,Yb,8,51,1.8346508563899868,0.6086956521739129,3.0606060606060606,3.4940711462450595,1.6594202898550725,0,37,14
A,130363,Sm,Lu,9,56,1.9704229797979798,0.31458333333333344,3.6262626262626263,3.481534090909091,1.511111111111111,0,43,13
A,130363,Eu,Gd,1,70,5.058333333333333,2.416666666666666,7.699999999999999,15.975,10.916666666666668,0,45,25
A,130363,Eu,Tb,2,58,-6.300757575757575,0.7318181818181817,-13.333333333333332,11.174242424242426,17.475,0,38,20
A,130363,Eu,Dy,3,69,2.2628205128205128,0.7756410256410258,3.75,5.721153846153847,3.4583333333333335,0,45,24
A,130363,Eu,Ho,4,51,2.1574675324675328,0.6363636363636365,3.678571428571429,4.896103896103896,2.7386363636363638,0,37,14
A,130363,Eu,Er,5,68,1.5809523809523807,0.7285714285714284,2.433333333333333,3.4499999999999997,1.869047619047619,0,43,25
A,130363,Eu,Tm,6,47,1.7106203007518794,0.49624060150375926,2.925,3.5428571428571427,1.8322368421052633,0,33,14
A,130363,Eu,Yb,7,51,1.6413419913419913,0.6493506493506496,2.633333333333333,3.3484848484848486,1.707142857142857,0,35,16
A,130363,Eu,Lu,8,55,2.1169540229885055,0.38390804597701145,3.8499999999999996,3.7333333333333334,1.6163793103448276,0,42,13
A,130363,Gd,Tb,1,65,5.6118421052631575,0.7236842105263159,10.5,12.736842105263158,7.125,0,43,22
A,130363,Gd,Dy,2,74,3.4006410256410255,0.8012820512820511,6.0,7.6923076923076925,4.291666666666667,0,49,25
A,130363,Gd,Ho,3,57,3.286666666666666,0.6399999999999999,5.933333333333333,6.96,3.6733333333333333,0,41,16
A,130363,Gd,Er,4,69,2.1290322580645165,0.5437788018433183,3.7142857142857144,4.629032258064516,2.5,0,47,22
A,130363,Gd,Tm,5,54,2.4422077922077925,0.42727272727272747,4.457142857142857,5.0285714285714285,2.5863636363636364,0,38,16
A,130363,Gd,Yb,6,57,2.2833211233211235,0.5507692307692309,4.015873015873016,4.337606837606838,2.0542857142857143,0,41,16
A,130363,Gd,Lu,7,60,2.0837106699175667,0.39974457215836523,3.767676767676768,3.824451410658307,1.7407407407407407,0,45,15
A,130363,Tb,Dy,1,66,4.533333333333333,-1.2666666666666657,10.333333333333332,17.866666666666667,13.333333333333332,0,43,23
A,130363,Tb,Ho,2,57,0.9603174603174605,1.1428571428571432,0.7777777777777777,5.293650793650794,4.333333333333334,0,41,16
A,130363,Tb,Er,3,63,2.6622807017543852,1.1578947368421049,4.166666666666666,5.684210526315789,3.0219298245614037,0,41,22
A,130363,Tb,Tm,4,54,2.439583333333333,0.8374999999999999,4.041666666666666,5.15625,2.716666666666667,0,38,16
A,130363,Tb,Yb,5,56,2.506944444444444,0.7222222222222223,4.291666666666666,5.0625,2.5555555555555554,0,40,16
A,130363,Tb,Lu,6,54,1.9206349206349207,0.6190476190476191,3.2222222222222223,3.8095238095238093,1.8888888888888888,0,39,15
A,130363,Dy,Ho,1,57,-2.0,4.0,-8.0,21.75,23.75,0,41,16
A,130363,Dy,Er,2,69,4.180555555555555,2.4444444444444446,5.916666666666666,9.722222222222221,5.541666666666666,0,47,22
A,130363,Dy,Tm,3,54,2.846626984126984,1.2361111111111107,4.457142857142857,6.984126984126984,4.1375,0,38,16
A,130363,Dy,Yb,4,58,2.494444444444444,0.8619047619047615,4.1269841269841265,5.2444444444444445,2.75,0,42,16
A,130363,Dy,Lu,5,60,2.1142305407011293,0.6830065359477122,3.545454545454546,4.467171717171717,2.3529411764705883,0,45,15
A,130363,Ho,Er,1,57,2.166666666666666,-1.1666666666666679,5.5,16.916666666666664,14.75,0,40,17
A,130363,Ho,Tm,2,55,2.516666666666667,1.533333333333334,3.5,8.666666666666668,6.15,0,38,17
A,130363,Ho,Yb,3,57,2.5166666666666666,2.833333333333333,2.1999999999999997,7.7333333333333325,5.216666666666667,0,40,17
A,130363,Ho,Lu,4,54,1.8571428571428572,1.0,2.7142857142857144,5.0,3.142857142857143,0,39,15
A,130363,Er,Tm,1,55,0.5999999999999996,-5.5,6.699999999999999,12.6,12.0,0,38,17
A,130363,Er,Yb,2,58,5.500000000000001,5.666666666666668,5.333333333333334,14.75,9.25,0,41,17
A,130363,Er,Lu,3,60,2.3363095238095233,1.0476190476190466,3.625,8.169642857142858,5.833333333333334,0,45,15
A,130363,Tm,Yb,1,55,9.5,0.0,19.0,42.0,32.5,0,38,17
A,130363,Tm,Lu,2,52,2.6333333333333333,0.0,5.266666666666667,31.8,29.166666666666668,0,37,15
A,130363,Yb,Lu,1,54,13.5,7.5,19.5,27.5,14.0,0,39,15
A,155921,La,Nd,3,77,5.393506493506494,0.28701298701298694,10.5,10.636363636363637,5.242857142857143,0,51,26
A,155921,La,Sm,5,74,2.2471204607262836,0.2799552071668532,4.2142857142857135,6.155015197568389,3.9078947368421053,0,49,25
A,155921,La,Eu,6,83,1.489264794555948,0.4977603583426651,2.480769230769231,3.5186170212765955,2.029352226720648,0,48,35
A,155921,La,Gd,7,68,1.6957098628925256,0.4628482972136223,2.928571428571429,3.3721804511278197,1.6764705882352942,0,45,23
A,155921,La,Dy,9,68,1.6158783783783783,0.4817567567567569,2.75,3.7375,2.1216216216216215,0,45,23
A,155921,La,Er,11,69,1.1688526762056175,0.5337837837837838,1.8039215686274512,2.541666666666667,1.3728139904610492,0,44,25
A,155921,La,Lu,14,56,2.3002192982456138,0.26710526315789473,4.333333333333333,3.8791666666666664,1.5789473684210527,0,43,13
A,155921,Nd,Sm,2,78,3.713636363636364,0.6272727272727274,6.800000000000001,9.096969696969698,5.383333333333333,0,52,26
A,155921,Nd,Eu,3,80,2.0252845041499103,0.8197997775305894,3.230769230769231,4.421836228287841,2.396551724137931,0,51,29
