selection_source_arm,outer_fold,split_seed,feature,selection_frequency,mean_signed_importance_or_coefficient,fold_consistency,selected
H2_E3_RAW_REAL,0,104729,elec__odd__delta_q_metal,0.6666666666666666,-0.011226058041557898,0.6666666666666666,True
H2_E3_RAW_REAL,0,104729,elec__even__absdelta_q_metal,0.0,0.0,0.0,False
H2_E3_RAW_REAL,0,104729,elec__even__compliance_q_metal,0.0,0.0,0.0,False
H2_E3_RAW_REAL,0,104729,elec__odd__delta_q_donor_mean,0.0,0.0,0.0,False
H2_E3_RAW_REAL,0,104729,elec__even__absdelta_q_donor_mean,0.0,0.0,0.0,False
H2_E3_RAW_REAL,0,104729,elec__even__compliance_q_donor_mean,0.0,0.0,0.0,False
H2_E3_RAW_REAL,0,104729,elec__odd__delta_q_donor_std,0.0,0.0,0.0,False
H2_E3_RAW_REAL,0,104729,elec__even__absdelta_q_donor_std,0.0,0.0,0.0,False
H2_E3_RAW_REAL,0,104729,elec__even__compliance_q_donor_std,0.0,0.0,0.0,False
H2_E3_RAW_REAL,0,104729,elec__odd__delta_q_donor_min,0.3333333333333333,-0.017542136402596442,0.3333333333333333,False
H2_E3_RAW_REAL,0,104729,elec__even__absdelta_q_donor_min,0.0,0.0,0.0,False
H2_E3_RAW_REAL,0,104729,elec__even__compliance_q_donor_min,0.0,0.0,0.0,False
H2_E3_RAW_REAL,0,104729,elec__odd__delta_q_donor_max,0.3333333333333333,0.002644531919052288,0.3333333333333333,False
H2_E3_RAW_REAL,0,104729,elec__even__absdelta_q_donor_max,0.0,0.0,0.0,False
H2_E3_RAW_REAL,0,104729,elec__even__compliance_q_donor_max,0.0,0.0,0.0,False
H2_E3_RAW_REAL,0,104729,elec__odd__delta_dipole_magnitude,0.3333333333333333,0.010026705069843338,0.3333333333333333,False
H2_E3_RAW_REAL,0,104729,elec__even__absdelta_dipole_magnitude,0.0,0.0,0.0,False
H2_E3_RAW_REAL,0,104729,elec__even__compliance_dipole_magnitude,0.0,0.0,0.0,False
H2_E3_RAW_REAL,0,104729,elec__odd__delta_metal_minus_donor_charge,0.3333333333333333,-0.0016355221235814816,0.3333333333333333,False
H2_E3_RAW_REAL,0,104729,elec__even__absdelta_metal_minus_donor_charge,0.0,0.0,0.0,False
H2_E3_RAW_REAL,0,104729,elec__even__compliance_metal_minus_donor_charge,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,0,104729,elec__odd__delta_q_metal,0.3333333333333333,-0.002951952680684208,0.3333333333333333,True
H2_E3_RAW_SHUFFLED,0,104729,elec__even__absdelta_q_metal,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,0,104729,elec__even__compliance_q_metal,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,0,104729,elec__odd__delta_q_donor_mean,0.0,0.0,0.0,False
